Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-10,433549,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433486,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433476,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433465,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433454,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433439,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433358,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433352,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433321,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433314,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433238,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433070,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,433000,7,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432988,254,189,0,51,10,3.91,53.13,-29.7,33.61,158.06,11.63,0,11,137.33
2024-10,432986,22,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432983,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432905,7,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432801,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432774,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432640,20,17,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432586,14,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432573,34,28,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432561,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432558,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432325,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432291,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432186,3,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,432145,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-10,431998,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
